Fecha;HORA;PAB01_PTR_I02_PV;Presion;timestamp;tspan
03/10/2022;13:50:00;3.98238;0.39053806827;2022-10-03 13:50:00;27.666666666666668
03/10/2022;14:00:00;3.95444;0.38779809026;2022-10-03 14:00:00;28.0
03/10/2022;14:10:00;3.94127;0.386506554455;2022-10-03 14:10:00;28.33333333333333
03/10/2022;14:20:00;3.92526;0.38493650979;2022-10-03 14:20:00;28.666666666666668
03/10/2022;14:30:00;3.88158;0.38065296507;2022-10-03 14:30:00;29.0
03/10/2022;14:40:00;3.84285;0.376854849525;2022-10-03 14:40:00;29.33333333333333
03/10/2022;14:50:00;3.80857;0.373493129905;2022-10-03 14:50:00;29.666666666666668
03/10/2022;15:00:00;3.78788;0.37146413402;2022-10-03 15:00:00;30.0
03/10/2022;15:10:00;3.77349;0.3700529570849999;2022-10-03 15:10:00;30.33333333333333
03/10/2022;15:20:00;3.75957;0.368687871405;2022-10-03 15:20:00;30.666666666666668
03/10/2022;15:30:00;3.74853;0.367605217245;2022-10-03 15:30:00;31.0
03/10/2022;15:40:00;3.73872;0.36664318488;2022-10-03 15:40:00;31.33333333333333
03/10/2022;15:50:00;3.72609;0.365404604985;2022-10-03 15:50:00;31.666666666666668
03/10/2022;16:00:00;3.72002;0.36480934133;2022-10-03 16:00:00;32.0
03/10/2022;16:10:00;3.71543;0.364359216095;2022-10-03 16:10:00;32.333333333333336
03/10/2022;16:20:00;3.70365;0.363203992725;2022-10-03 16:20:00;32.666666666666664
03/10/2022;16:30:00;3.6894;0.3618065451;2022-10-03 16:30:00;33.0
03/10/2022;16:40:00;3.68007;0.360891584655;2022-10-03 16:40:00;33.333333333333336
03/10/2022;16:50:00;3.6726;0.3601590279;2022-10-03 16:50:00;33.666666666666664
03/10/2022;17:00:00;3.67257;0.360156085905;2022-10-03 17:00:00;34.0
03/10/2022;17:10:00;3.67339;0.360236500435;2022-10-03 17:10:00;34.333333333333336
03/10/2022;17:20:00;3.674;0.360296321;2022-10-03 17:20:00;34.666666666666664
03/10/2022;17:30:00;3.67894;0.36078076951;2022-10-03 17:30:00;35.0
03/10/2022;17:40:00;3.68686;0.3615574561899999;2022-10-03 17:40:00;35.333333333333336
03/10/2022;17:50:00;3.70095;0.362939213175;2022-10-03 17:50:00;35.666666666666664
03/10/2022;18:00:00;3.71141;0.363964988765;2022-10-03 18:00:00;36.0
03/10/2022;18:10:00;3.72407;0.365206510655;2022-10-03 18:10:00;36.333333333333336
03/10/2022;18:20:00;3.75701;0.368436821165;2022-10-03 18:20:00;36.66666666666666
03/10/2022;18:30:00;3.79134;0.37180344411;2022-10-03 18:30:00;37.0
